timestamp,latitude,longitude,altitude,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,lidar_distance,speed,wind_speed,battery_level,obstacle_detected,highlight
0,39.900,116.400,50,0.12,0.08,9.81,0.05,-0.02,0.03,150,12,5,95,0,0
0.1,39.901,116.401,52,0.11,0.09,9.79,0.04,-0.01,0.02,145,12.2,5.1,94,0,0
0.2,39.902,116.402,55,0.13,0.07,9.82,0.06,-0.03,0.04,30,11.8,5.2,94,1,1
0.3,39.903,116.403,53,0.10,0.10,9.80,0.03,-0.02,0.03,28,11.9,5.0,93,1,1
0.4,39.904,116.404,54,0.14,0.06,9.81,0.05,-0.01,0.05,32,12.1,4.9,93,1,1
0.5,39.905,116.405,56,0.12,0.08,9.82,0.04,0.00,0.02,155,12.3,5.3,92,0,0
0.6,39.906,116.406,57,0.11,0.09,9.79,0.05,-0.02,0.04,148,12.0,5.1,92,0,0
0.7,39.907,116.407,58,0.13,0.07,9.81,0.06,-0.03,0.03,35,11.7,4.8,91,1,1
0.8,39.908,116.408,55,0.10,0.10,9.80,0.03,-0.01,0.05,31,11.8,5.0,91,1,1
0.9,39.909,116.409,59,0.14,0.06,9.82,0.05,-0.02,0.04,152,12.2,5.2,90,0,0
